name,hebrewName,imageUrl,copies,gameTime,company,minPlayer,maxPlayer
Santorini: New York, סנטוריני: ניו-יורק,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/fcp8jiHHELBu0gysThUCvA__original/img/ccuCv2A3KxaNlsjLPoLQYugVXtQ%3D/0x0/pic5562971.png",1,30,Roxley,2,5
Super Farmer,סופר פארמר,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/http://cf.geekdo-images.com/images/pic1802593.jpg",1,20,Grenna,2,6
Azul,אזול,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/original/img/9-SR48jyfxs4At6255sjHoly2sw%3D/0x0/pic3718275.jpg",1,45,BrainGo,2,4
Century,המאה - דרך התבלינים,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://scontent.ftlv5-1.fna.fbcdn.net/v/t1.0-9/s960x960/117940906_188364649389689_2526280967091146573_o.jpg%3F_nc_cat%3D110%26_nc_sid%3D8024bb%26_nc_ohc%3DvCdjDEcMc6MAX_grl-D%26_nc_ht%3Dscontent.ftlv5-1.fna%26_nc_tp%3D7%26oh%3D0f8dc94c5d5ac7212d8668cd9ef6c220%26oe%3D5F63B689",1,40,BrainGo,2,5
until 9,עד 9,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://i.imgur.com/1sWXv8D.jpg",1,20,ABACUSSPIELE,1,4
"
Forbidden desert",המדבר הנעלם,https://foxmind.co.il/wp-content/uploads/2021/12/FORBIDDEN-DESERT.jpg,1,45,FoxMind,2,5
"
Forbidden island",האי הנעלם,https://foxmind.co.il/wp-content/uploads/2021/12/FORBIDDEN-ISLAND-1.jpg,1,30,FoxMind,2,4
Quixo,קוויקסו,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://www.myfirstgames.sg/image/cache/data/product2/Quixo_mini_white-600x600.jpg",1,15,Gigamic,2,4
Talisman,טליסמן,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://files-ptdpritol.netdna-ssl.com/system/photos/2164582/show/8121e5cd77e75b7ad412ad081210148b.jpg",1,90,,2,6
Just one,במילה אחת,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/imagepagezoom/img/12hz9p-UtANOrKkeJ8B2ohNudyQ%3D/fit-in/1200x900/filters:no_upscale()/pic4268499.jpg",1,20,FoxMind,3,7
Set,סט,https://cdn.speedsize.com/445b3f1d-fd31-4b62-b24b-5846a3ed38ac/https://d3m9l0v76dty0.cloudfront.net/system/photos/7875830/large/f97ba71ae1ee295838f051d36d6238bf.webp,2,,,,
Cortex,קורטקס,https://www.toyhouse.co.il/images/itempics/592390_17102019095319_large.jpg,1,,,,
Picolino,פיקולינו,https://www.steimatzky.co.il/pub/media/catalog/product/cache/054fd023ed4beb824f3143faa6fcc008/1/0/104130141-1635808333254747.jpg,1,,,,
Race,רייס,https://lahitoys.co.il/wp-content/uploads/2020/09/race-%D7%94%D7%9E%D7%99%D7%A8%D7%95%D7%A5.jpg,1,,,,
Taki,טאקי,https://www.steimatzky.co.il/pub/media/catalog/product/cache/054fd023ed4beb824f3143faa6fcc008/1/0/104130026-167707319147356.jpg,2,,,,
Grab the cup,תפוס תכוס,https://mindx.co.il/wp-content/uploads/2020/01/%D7%AA%D7%A4%D7%95%D7%A1-%D7%AA%D7%9B%D7%95%D7%A1.jpg,1,,,,
Rummikub,רמיקוב,https://www.toyhouse.co.il/images/itempics/672600_large.jpg,1,,,,
Risk,ריסק - סיכון,https://www.kodkod.co.il/images/itempics/1513_large.jpg,1,,,,
Monopoly,מונופול,https://www.kodkod.co.il/images/itempics/1591_large.jpg,2,,,,
Monopol deal,מונופול דיל,https://www.kodkod.co.il/images/itempics/1553_large.jpg,1,,,,
Taboo,טאבו,https://cf.geekdo-images.com/e8wVvax1VqQkgCu_AST5Aw__imagepage/img/N2F-Ul9aZMG-86YGJe8NkZP08BE=/fit-in/900x600/filters:no_upscale():strip_icc()/pic212946.jpg,1,,,,
Blanko,בלאנקו,https://cf.geekdo-images.com/6Mr1GIpQiBwgUBHjfSGVjw__imagepage/img/SPfMnp-aVEQfLwTnKS4zeacmKgg=/fit-in/900x600/filters:no_upscale():strip_icc()/pic163910.jpg,1,30,,2,4
Clue,הרמז,https://www.kodkod.co.il/images/itempics/1504_large.jpg,1,,,,
Super Tactico,סופר טקטיקו,https://b1909865.smushcdn.com/1909865/wp-content/uploads/2019/10/2205.jpg?size=600x635&lossy=1&strip=1&webp=1,1,,,,
Lets talk,בוא נדבר,https://kidsbest.co.il/wp-content/uploads/2022/02/lets_talk_1.jpg,1,,,,
Labyrinth,המבוך הקסום,https://play-smart.co.il/Cat_489700_1323.jpg,1,20,,2,4
Avalanche of penguins,מפולת פינגווינים,https://play-smart.co.il/Cat_489700_11338.jpg,1,,,,
Indians,אינדיאנס,https://play-smart.co.il/Cat_489700_21614.jpg,1,,,,
Pizza In The City,פיצה בעיר,https://play-smart.co.il/Cat_489700_21632.jpg,1,,,,
Rush hour,שעת שיא,https://play-smart.co.il/Cat_489700_691.jpg,1,,,,
Swish,סוויש,https://play-smart.co.il/Cat_489700_668.jpg,1,,,,
Gravity maze,מבוך גובה,https://kidsbest.co.il/wp-content/uploads/2019/12/gravity_maze.jpg,1,,,,
So Do You,סו-דו-יו,https://www.siman-kria.co.il/warehouse/dynamic/197120.jpg,2,,,,
Link,לינק,https://www.siman-kria.co.il/warehouse/dynamic/197116.jpg,2,,,,
Deck of cards,קלפי משחק,https://www.steimatzky.co.il/pub/media/catalog/product/cache/054fd023ed4beb824f3143faa6fcc008/1/0/106910135-1635840330265676.jpg,3,,,,
Pentago,פנטגו,https://play-smart.co.il/Cat_489700_224.jpg,1,,,,
Time Out,טיים אווט,https://www.toyhouse.co.il/images/itempics/950085_09092020131217_large.jpg,2,,,,
Points Of You,משחק אימון לערנות ועשיה,https://www.steimatzky.co.il/pub/media/catalog/product/cache/054fd023ed4beb824f3143faa6fcc008/1/0/109440001-1635845477332476.jpg,2,,,,
Munchkin,מנצקין אגדות,https://www.hakubia.com/wp-content/uploads/2021/02/%D7%9E%D7%A0%D7%A6%D7%A7%D7%99%D7%9F-%D7%90%D7%92%D7%93%D7%95%D7%AA.webp,1,90,,3,6
Remember me? Memory game,זוכר אותי? משחק זיכרון,https://www.steimatzky.co.il/pub/media/catalog/product/cache/054fd023ed4beb824f3143faa6fcc008/1/0/107570075-1635841422253922.jpg,1,,,,
The painters game Memory game,משחק הציירים משחק זיכרון,https://www.steimatzky.co.il/pub/media/catalog/product/cache/054fd023ed4beb824f3143faa6fcc008/1/0/104810203-1635809863998766.jpg,1,,,,
